timestamp,camera,cars,motorbikes,buses,trucks,avg_speed_kmh
2026-02-05 16:56:00,depok_sp_jatijajar,34,135,3,17,0.97
2026-02-05 16:57:00,depok_sp_jatijajar,35,121,2,13,1.03
2026-02-05 16:58:00,depok_sp_jatijajar,21,121,0,4,1.08
2026-02-05 16:59:00,depok_sp_jatijajar,47,21,7,15,0.93
2026-02-05 17:00:00,depok_sp_jatijajar,10,19,1,10,1.02
2026-02-05 17:01:00,depok_sp_jatijajar,20,17,1,8,1.08
2026-02-05 17:02:00,depok_sp_jatijajar,18,13,0,7,0.98
2026-02-05 17:03:00,depok_sp_jatijajar,13,42,0,22,0.86
2026-02-05 17:04:00,depok_sp_jatijajar,22,59,0,1,0.96
2026-02-05 17:05:00,depok_sp_jatijajar,31,84,0,0,0.92
2026-02-05 17:06:00,depok_sp_jatijajar,44,56,0,3,0.85
2026-02-05 17:07:00,depok_sp_jatijajar,20,37,0,2,0.95
2026-02-05 17:08:00,depok_sp_jatijajar,14,17,1,2,0.85
2026-02-05 17:09:00,depok_sp_jatijajar,13,29,1,2,0.99
2026-02-05 17:10:00,depok_sp_jatijajar,14,25,0,1,0.95
2026-02-05 17:11:00,depok_sp_jatijajar,10,75,0,1,1.07
2026-02-05 17:12:00,depok_sp_jatijajar,19,98,0,0,1.02
2026-02-05 17:13:00,depok_sp_jatijajar,10,9,0,0,0.95
2026-02-05 17:14:00,depok_sp_jatijajar,27,19,2,8,0.98
2026-02-05 17:15:00,depok_sp_jatijajar,26,40,5,11,0.96
2026-02-05 17:16:00,depok_sp_jatijajar,20,21,4,9,0.94
2026-02-05 17:17:00,depok_sp_jatijajar,41,82,8,19,0.99
2026-02-05 17:18:00,depok_sp_jatijajar,45,104,4,11,1.16
2026-02-05 17:19:00,depok_sp_jatijajar,20,19,0,7,1.06
2026-02-05 17:20:00,depok_sp_jatijajar,31,41,3,15,1.01
2026-02-05 17:21:00,depok_sp_jatijajar,22,45,9,10,0.97
2026-02-05 17:22:00,depok_sp_jatijajar,19,11,4,6,0.97
2026-02-05 17:23:00,depok_sp_jatijajar,53,82,8,23,0.98
2026-02-05 17:24:00,depok_sp_jatijajar,53,105,7,13,1.17
2026-02-05 17:25:00,depok_sp_jatijajar,52,31,2,14,1.02
2026-02-05 17:26:00,depok_sp_jatijajar,24,30,12,12,0.94
2026-02-05 17:27:00,depok_sp_jatijajar,55,26,6,24,0.92
2026-02-05 17:28:00,depok_sp_jatijajar,84,142,2,25,0.97
2026-02-05 17:29:00,depok_sp_jatijajar,49,107,2,28,0.94
2026-02-05 17:30:00,depok_sp_jatijajar,19,36,0,1,0.99
2026-02-05 17:32:00,depok_sp_jatijajar,6,2,0,2,0.0
2026-02-05 18:42:00,depok_sp_jatijajar,35,0,0,14,0.94
2026-02-05 18:42:00,depok_sp_jatijajar,42,6,2,8,0.99
2026-02-05 18:43:00,depok_sp_jatijajar,73,32,0,11,1.05
2026-02-05 18:43:00,depok_sp_jatijajar,63,9,0,9,0.92
2026-02-05 18:44:00,depok_sp_jatijajar,81,78,0,5,0.97
2026-02-05 18:44:00,depok_sp_jatijajar,70,7,0,2,1.1
2026-02-05 18:45:00,depok_sp_jatijajar,88,29,0,6,1.06
2026-02-05 18:45:00,depok_sp_jatijajar,60,24,1,7,1.01
2026-02-05 18:46:00,depok_sp_jatijajar,41,6,1,5,1.11
2026-02-05 18:46:00,depok_sp_jatijajar,35,0,2,7,0.93
2026-02-05 18:47:00,depok_sp_jatijajar,78,42,1,11,0.97
2026-02-05 18:47:00,depok_sp_jatijajar,72,30,0,23,1.05
2026-02-05 18:48:00,depok_sp_jatijajar,76,10,0,2,1.0
2026-02-05 18:48:00,depok_sp_jatijajar,34,54,0,22,0.97
2026-02-05 18:49:00,depok_sp_jatijajar,38,12,1,2,1.02
2026-02-05 18:49:00,depok_sp_jatijajar,87,26,0,5,1.05
2026-02-05 18:50:00,depok_sp_jatijajar,90,16,0,6,1.03
2026-02-05 18:50:00,depok_sp_jatijajar,62,9,1,6,1.12
2026-02-05 18:51:00,depok_sp_jatijajar,40,3,0,8,0.87
2026-02-05 18:51:00,depok_sp_jatijajar,88,6,1,9,0.95
2026-02-05 18:52:00,depok_sp_jatijajar,77,18,0,6,1.03
2026-02-05 18:52:00,depok_sp_jatijajar,83,3,3,12,0.97
2026-02-05 18:53:00,depok_sp_jatijajar,55,12,0,10,1.0
2026-02-05 18:53:00,depok_sp_jatijajar,52,8,1,5,0.99
2026-02-05 18:54:00,depok_sp_jatijajar,69,22,0,6,1.19
2026-02-05 18:54:00,depok_sp_jatijajar,37,32,0,6,0.86
2026-02-05 18:55:00,depok_sp_jatijajar,43,5,3,14,1.06
2026-02-05 18:55:00,depok_sp_jatijajar,52,5,0,8,0.91
2026-02-05 18:56:00,depok_sp_jatijajar,56,0,0,16,0.99
2026-02-05 18:56:00,depok_sp_jatijajar,4,1,2,6,2.45
2026-02-05 18:57:00,depok_sp_jatijajar,41,4,2,17,0.93
2026-02-05 18:57:00,depok_sp_jatijajar,45,2,7,17,0.98
2026-02-05 18:58:00,depok_sp_jatijajar,42,9,1,6,0.87
2026-02-05 18:58:00,depok_sp_jatijajar,74,3,1,8,0.93
2026-02-05 18:58:00,depok_sp_jatijajar,49,6,0,4,0.89
2026-02-05 18:59:00,depok_sp_jatijajar,68,0,6,19,1.09
2026-02-05 18:59:00,depok_sp_jatijajar,55,14,0,11,1.02
2026-02-05 18:59:00,depok_sp_jatijajar,41,8,0,6,0.94
2026-02-05 19:00:00,depok_sp_jatijajar,17,1,2,5,1.16
2026-02-05 19:00:00,depok_sp_jatijajar,18,1,0,1,0.83
2026-02-05 19:00:00,depok_sp_jatijajar,22,5,0,2,0.96
2026-02-05 19:01:00,depok_sp_jatijajar,20,0,0,3,0.82
2026-02-05 19:01:00,depok_sp_jatijajar,22,0,2,4,0.93
2026-02-05 19:01:00,depok_sp_jatijajar,9,1,0,1,1.55
2026-02-05 19:02:00,depok_sp_jatijajar,35,3,0,0,0.83
2026-02-05 19:02:00,depok_sp_jatijajar,26,14,0,4,1.02
2026-02-05 19:02:00,depok_sp_jatijajar,39,1,0,1,0.8
2026-02-05 19:03:00,depok_sp_jatijajar,60,23,0,4,0.98
2026-02-05 19:03:00,depok_sp_jatijajar,38,26,0,3,0.85
2026-02-05 19:03:00,depok_sp_jatijajar,42,26,0,4,0.82
2026-02-05 19:04:00,depok_sp_jatijajar,58,17,2,17,0.9
2026-02-05 19:04:00,depok_sp_jatijajar,38,13,0,8,1.0
2026-02-05 19:04:00,depok_sp_jatijajar,29,14,0,7,0.94
2026-02-05 19:05:00,depok_sp_jatijajar,38,3,0,2,1.02
2026-02-05 19:05:00,depok_sp_jatijajar,60,25,1,19,1.0
2026-02-05 19:05:00,depok_sp_jatijajar,38,3,0,2,1.0
2026-02-05 19:06:00,depok_sp_jatijajar,52,7,3,5,0.97
2026-02-05 19:06:00,depok_sp_jatijajar,53,3,2,6,0.74
2026-02-05 19:06:00,depok_sp_jatijajar,53,3,2,6,0.75
2026-02-05 19:07:00,depok_sp_jatijajar,53,14,1,10,0.85
2026-02-05 19:07:00,depok_sp_jatijajar,48,10,1,10,0.85
2026-02-05 19:07:00,depok_sp_jatijajar,51,11,1,10,1.0
2026-02-05 19:08:00,depok_sp_jatijajar,47,0,0,5,0.87
2026-02-05 19:08:00,depok_sp_jatijajar,43,64,2,6,0.87
2026-02-05 19:08:00,depok_sp_jatijajar,46,66,1,6,0.83
2026-02-05 19:09:00,depok_sp_jatijajar,28,7,0,3,0.99
2026-02-05 19:09:00,depok_sp_jatijajar,38,34,0,5,0.87
2026-02-05 19:09:00,depok_sp_jatijajar,45,31,0,7,0.93
2026-02-05 19:20:00,depok_sp_jatijajar,37,5,4,13,0.93
2026-02-05 19:21:00,depok_sp_jatijajar,53,0,1,16,0.94
2026-02-05 19:22:00,depok_sp_jatijajar,17,6,4,10,0.88
2026-02-05 19:23:00,depok_sp_jatijajar,10,8,3,6,0.86
2026-02-05 19:24:00,depok_sp_jatijajar,51,105,0,1,1.03
2026-02-05 19:25:00,depok_sp_jatijajar,72,113,1,4,0.96
2026-02-05 19:26:00,depok_sp_jatijajar,72,74,0,2,0.97
2026-02-05 19:27:00,depok_sp_jatijajar,18,13,0,1,0.89
2026-02-05 19:28:00,depok_sp_jatijajar,40,2,1,1,1.07
2026-02-05 19:29:00,depok_sp_jatijajar,22,0,1,1,1.07
2026-02-05 19:30:00,depok_sp_jatijajar,2,0,2,1,1.07
2026-02-05 19:31:00,depok_sp_jatijajar,29,4,3,3,0.93
2026-02-05 19:32:00,depok_sp_jatijajar,66,7,1,2,1.09
2026-02-05 19:33:00,depok_sp_jatijajar,29,6,0,3,1.23
2026-02-05 19:34:00,depok_sp_jatijajar,74,8,4,9,0.96
2026-02-05 19:35:00,depok_sp_jatijajar,29,2,0,3,1.04
2026-02-05 19:36:00,depok_sp_jatijajar,55,1,15,4,0.91
2026-02-05 19:37:00,depok_sp_jatijajar,80,40,11,11,0.94
2026-02-05 19:38:00,depok_sp_jatijajar,76,9,14,18,0.95
2026-02-05 19:39:00,depok_sp_jatijajar,63,1,7,2,0.96
2026-02-05 19:40:00,depok_sp_jatijajar,29,9,1,2,1.0
2026-02-05 19:41:00,depok_sp_jatijajar,14,2,1,3,1.16
2026-02-05 19:42:00,depok_sp_jatijajar,31,4,0,3,1.03
2026-02-05 19:43:00,depok_sp_jatijajar,70,21,0,4,0.98
2026-02-05 19:44:00,depok_sp_jatijajar,83,16,0,7,0.98
2026-02-05 19:45:00,depok_sp_jatijajar,100,30,0,3,0.99
2026-02-05 19:46:00,depok_sp_jatijajar,52,13,0,9,1.0
2026-02-05 19:47:00,depok_sp_jatijajar,71,1,0,6,1.0
2026-02-05 19:48:00,depok_sp_jatijajar,94,31,4,18,1.09
2026-02-05 19:49:00,depok_sp_jatijajar,69,20,1,3,0.99
2026-02-05 19:50:00,depok_sp_jatijajar,143,14,3,2,1.12
2026-02-05 19:51:00,depok_sp_jatijajar,98,20,4,8,1.06
2026-02-05 19:52:00,depok_sp_jatijajar,93,11,2,6,1.09
2026-02-05 19:53:00,depok_sp_jatijajar,62,1,1,25,0.94
2026-02-05 19:54:00,depok_sp_jatijajar,52,12,2,18,0.96
2026-02-05 19:55:00,depok_sp_jatijajar,45,20,0,15,0.94
2026-02-05 19:56:00,depok_sp_jatijajar,43,30,0,12,0.96
2026-02-05 19:57:00,depok_sp_jatijajar,53,30,0,8,0.91
2026-02-05 19:58:00,depok_sp_jatijajar,58,2,0,18,0.92
2026-02-05 19:59:00,depok_sp_jatijajar,50,7,1,14,0.9
2026-02-05 20:00:00,depok_sp_jatijajar,20,10,0,3,0.96
2026-02-05 20:01:00,depok_sp_jatijajar,47,2,1,7,1.01
2026-02-05 20:01:00,depok_sp_jatijajar,9,2,0,2,0.0
2026-02-05 20:02:00,depok_sp_jatijajar,115,12,1,19,1.05
2026-02-05 20:02:00,depok_sp_jatijajar,28,5,0,4,0.83
2026-02-05 20:03:00,depok_sp_jatijajar,91,40,0,7,1.02
2026-02-05 20:03:00,depok_sp_jatijajar,105,18,0,7,1.13
