date,camera,cars,motorbikes,buses,trucks,total,avg_speed_kmh
2026-02-05,depok_sp_jatijajar,7521,2246,274,1026,11067,1.01
2026-02-06,depok_sp_jatijajar,21890,22472,764,4619,49745,1.04
